stage,true_label,predicted_label,n
expanded_grid,iCAF_like_uncertain,iCAF_like_uncertain,36
expanded_grid,iCAF_like_uncertain,myCAF_like,0
expanded_grid,iCAF_like_uncertain,pericyte_vCAF_like,1
expanded_grid,myCAF_like,iCAF_like_uncertain,1
expanded_grid,myCAF_like,myCAF_like,159
expanded_grid,myCAF_like,pericyte_vCAF_like,28
expanded_grid,pericyte_vCAF_like,iCAF_like_uncertain,2
expanded_grid,pericyte_vCAF_like,myCAF_like,21
expanded_grid,pericyte_vCAF_like,pericyte_vCAF_like,594
calibrated,iCAF_like_uncertain,iCAF_like_uncertain,34
calibrated,iCAF_like_uncertain,myCAF_like,0
calibrated,iCAF_like_uncertain,pericyte_vCAF_like,3
calibrated,myCAF_like,iCAF_like_uncertain,1
calibrated,myCAF_like,myCAF_like,157
calibrated,myCAF_like,pericyte_vCAF_like,30
calibrated,pericyte_vCAF_like,iCAF_like_uncertain,0
calibrated,pericyte_vCAF_like,myCAF_like,19
calibrated,pericyte_vCAF_like,pericyte_vCAF_like,598
external_transfer,iCAF_like_uncertain,iCAF_like_uncertain,23
external_transfer,iCAF_like_uncertain,myCAF_like,10
external_transfer,iCAF_like_uncertain,pericyte_vCAF_like,128
external_transfer,myCAF_like,iCAF_like_uncertain,46
external_transfer,myCAF_like,myCAF_like,87
external_transfer,myCAF_like,pericyte_vCAF_like,372
external_transfer,pericyte_vCAF_like,iCAF_like_uncertain,51
external_transfer,pericyte_vCAF_like,myCAF_like,24
external_transfer,pericyte_vCAF_like,pericyte_vCAF_like,663
